["Melinda", "Ron", 2775]
["Suzanne", "Joyce", 921.85]
["Elmer", "Vanesa", 920.6]
["Mozelle", "Adriana", 919.86]
["Tatiana", "Walter", 917.07]
["Kathleen", "Jennifer", 913.48]
["Miriam", "Annette", 908.31]
["Blair", "Christine", 904.84]
["Edward", "Toshia", 901.63]
["Alton", "Elias", 897.61]
["Sun", "Monique", 896.93]
["Melody", "Efrain", 895.52]
["Gilda", "Belen", 891.73]
["Nathaniel", "Marvin", 891.09]
["Moses", "Roseann", 885.63]
["Octavio", "Debra", 885.59]
["Nola", "Elana", 878.83]
["Carrie", "Jesus", 877.32]
["Tanya", "Serena", 876.61]
["Lynn", "Warren", 870.42]
["Gladys", "Melvin", 857.4]
["Louise", "Earnest", 852.85]
["Elijah", "Kirsten", 848.97]
["Ena", "Kirby", 848.3]
["Duane", "Leda", 846.81]
["Casandra", "Randal", 846.1]
["Doris", "Isaac", 836.28]
["Claire", "Eddie", 827.93]
["Jared", "Madeline", 826.51]
["Loren", "Winter", 823.16]
["Debbie", "Jonathan", 822.58]
["Frederick", "Gretchen", 821.02]
["Lori", "Wanda", 819.52]
["Juanita", "Charmaine", 818.37]
["Glenn", "Maria", 817.9]
["Karla", "Gary", 816.81]
["John", "Ramona", 813.91]
["Janet", "Carl", 810.16]
["Lea", "Valentin", 809.11]
["Dennis", "German", 808.33]
["Jessica", "Mabel", 802.92]
["Mindy", "Brenda", 799.93]
["Karyn", "Jaime", 799.44]
["Hector", "Lakiesha", 790.09]
["Yvette", "Jodi", 785.38]
["Laurie", "Rashad", 784.86]
["Bruce", "Diane", 777.99]
["Clara", "Shawn", 776.87]
["Stephen", "Dawna", 773.67]
["Latisha", "Edmundo", 767.7]
["Ruben", "Kris", 758.03]
["Wayne", "Agnes", 756.02]
["Aurelia", "Pedro", 749.65]
["Marlene", "Essie", 746.14]
["Kira", "Sallie", 744.11]
["Jill", "Josue", 739.43]
["Colby", "Shauna", 737.88]
["Abby", "Nona", 726.82]
["Thomas", "Sylvia", 725.75]
["Wilma", "Sofia", 715.15]
["Joanna", "Ernest", 713.07]
["Korey", "Sonja", 712.21]
["Leon", "Calvin", 706.34]
["Pilar", "Lonnie", 701.36]
["Ilana", "Grace", 696.18]
["Aaron", "Veronica", 695.35]
["Roxie", "Stacy", 690.72]
["Lelia", "Malcolm", 688.35]
["Willis", "Fannie", 684.88]
["Cyrus", "Mellissa", 677.89]
["June", "Patsy", 674.38]
["Lawerence", "Marlin", 674.2]
["Norman", "Courtney", 671.3]
["Arnold", "Helena", 667.23]
["Fred", "Kari", 663.96]
["Archie", "Delta", 663.4]
["Stephanie", "Zachery", 662.49]
["Taylor", "Dan", 658.31]
["Ronald", "Jospeh", 658.03]
["Julius", "Debora", 657.6]
["Gerri", "Minnie", 656.95]
["Victoria", "Reatha", 656.73]
["Antionette", "Nichole", 654.16]
["Amanda", "Jordan", 652.98]
["Clifton", "Anthony", 651.41]
["Christina", "Mollie", 649.95]
["Wade", "Josephine", 648.54]
["Dustin", "Leonard", 647.81]
["Eric", "Benny", 647.05]
["Wilbur", "Michele", 644.45]
["Sheri", "Olga", 643.6]
["Albert", "Suzanna", 641.16]
["Jenifer", "Ofelia", 640.22]
["Jeff", "Joseph", 639.58]
["Kevin", "Emily", 636.51]
["Cheri", "Betty", 631.61]
["Ashlie", "Tracie", 631.23]
["Jerry", "Judy", 627.22]
["Bobbie", "Madelyn", 624.24]
["Angel", "Neil", 620.21]
["Jeffrey", "Tiffany", 619.78]
["Andrew", "Dale", 619.03]
["Della", "Araceli", 618.98]
["Connie", "Alan", 617.24]
["Adam", "Hazel", 613.1]
["Leah", "Darrell", 611.49]
["Delma", "Brandon", 606.37]
["Whitney", "Lois", 602.08]
["Lucille", "Tom", 600.33]
["Jean", "Charlene", 599]
["Harlan", "Paul", 598.95]
["Shannon", "Lakendra", 598.42]
["Dawn", "Goldie", 597.79]
["Brad", "Ella", 596.3]
["Thanh", "Allen", 595.18]
["Marion", "Shelley", 594.03]
["Oliva", "Randy", 589.52]
["Leroy", "Louis", 581.13]
["Delilah", "Marta", 579.94]
["Travis", "Terry", 578.24]
["Armand", "Jeanette", 577.05]
["Stacey", "Lovella", 576.46]
["Peter", "Kurt", 575.12]
["Katie", "Lauren", 571.32]
["Cory", "Danny", 564.17]
["Shakita", "Bev", 563.73]
["Kendra", "Alpha", 563.44]
["Raymond", "Bonnie", 560.7]
["Julie", "Drew", 549.84]
["Clyde", "Diana", 545.74]
["Allan", "Earl", 545.54]
["Brandi", "Elli", 536.77]
["Patty", "Annabelle", 535.61]
["Kayleigh", "Phyllis", 530.81]
["Alice", "Kelly", 529.56]
["Jeannette", "Dalia", 528.02]
["Brett", "Rex", 525.42]
["Mark", "Gwen", 525.06]
["Pamela", "Alison", 523.1]
["Melissa", "Nettie", 509.95]
["Bradford", "Antonio", 509.51]
["Rory", "Rodney", 506.91]
["Joe", "Gordon", 505.69]
["Carol", "Preston", 503.79]
["Elvira", "Constance", 503.69]
["Kerry", "Sheba", 503.45]
["Toby", "Homer", 503.18]
["Hilary", "Marisa", 501.74]
["Terri", "Effie", 497.19]
["Audrey", "Marylee", 496.3]
["Kara", "Joni", 493.45]
["Milton", "Bradley", 492.01]
["Shiela", "Beverly", 486.52]
["Marco", "Henry", 478.18]
["Samuel", "Julia", 475.2]
["Byron", "Deborah", 470.13]
["Robby", "Vernon", 469.73]
["Herbert", "Adeline", 469.35]
["Randi", "Donna", 468.92]
["Ronda", "Taryn", 468.67]
["Tyrone", "Eloisa", 461.91]
["Williemae", "Ronni", 461.43]
["Melodie", "Marina", 460.72]
["Julio", "William", 458.51]
["Inez", "Ginny", 457.82]
["Jacquelyn", "Lu", 452.8]
["Jessie", "Bryan", 451.33]
["Cassandra", "Tamera", 451.28]
["Delbert", "Manual", 449.39]
["Lacy", "Nova", 446.65]
["Kyle", "Tyler", 445.27]
["Annie", "Rachel", 444.52]
["Andy", "Ivy", 442.49]
["Morgan", "Stella", 441.35]
["Nicholas", "Velma", 439.57]
["Ira", "Roland", 438.13]
["Nathan", "Margaret", 437.57]
["Val", "Greg", 436.06]
["Ahmad", "Claud", 433.42]
["Marcus", "Elenor", 419.46]
["Kristin", "Jenny", 417.6]
["Santos", "Manuel", 414]
["Williams", "Evelyn", 413.45]
["Jin", "Marie", 403.53]
["Brent", "Brandy", 401.57]
["Son", "Irving", 396.21]
["Brittani", "Allena", 392.4]
["Dixie", "Cheryl", 392.35]
["Alfred", "Gregorio", 392.25]
["Sheila", "Delmer", 391.62]
["Stephan", "Ronnie", 387.5]
["Chris", "Clarice", 386.88]
["Ricky", "Anna", 376.89]
["Philip", "Estell", 374.96]
["Jenelle", "Rena", 370.02]
["Billy", "Chong", 362.67]
["Cecile", "April", 360.85]
["Denise", "Lindy", 360.63]
["Lisa", "Rhonda", 359.11]
["Edith", "Allyson", 358.65]
["Linda", "Ezra", 358.08]
["Felipe", "Ashley", 357.67]
["Wilfredo", "Michael", 356.95]
["Ralph", "Garry", 354.54]
["Cary", "Bill", 354.54]
["Rodolfo", "Efren", 349.57]
["Van", "Marcel", 349.45]
["Elizabeth", "Colleen", 346.9]
["Holly", "Belinda", 346.41]
["Ernestine", "Darla", 343.97]
["Dianne", "Melanie", 342.58]
["Eduardo", "Joel", 338.67]
["Matilda", "Dion", 335.53]
["Zachary", "Anne", 334.8]
["Nancy", "Caryn", 334.71]
["Marsha", "Faye", 332.6]
["Pauline", "Lloyd", 332.11]
["Delores", "Patrick", 328.65]
["Robert", "Vanessa", 327.68]
["Elaine", "Micheal", 324.68]
["Harold", "Charline", 324.16]
["Roberta", "Jamila", 322.69]
["Edna", "Mercedes", 313.02]
["Malcom", "Christen", 309.37]
["Alejandra", "Lorene", 307.05]
["Pennie", "Sonia", 305.51]
["Jerrell", "Conrad", 301.34]
["Thelma", "Arthur", 300.67]
["Monika", "Freddie", 297.33]
["Cindy", "Katerine", 296.89]
["Silvia", "Harry", 295.66]
["Miranda", "Marian", 294.54]
["Dwight", "Damian", 293.9]
["Maureen", "Malinda", 293.61]
["Agatha", "Cathi", 292.81]
["Kirk", "Wm", 290.65]
["Alyssa", "Mireille", 289.98]
["David", "Jacqueline", 287.59]
["Keith", "Eva", 286.07]
["Virgil", "Tracy", 285.79]
["Cristina", "Sherrie", 285.63]
["Harley", "Erika", 285]
["Jacob", "Clark", 283.55]
["Jo", "Andre", 280.23]
["Cecilia", "Sharell", 279.87]
["Gustavo", "Miguel", 277.18]
["Flora", "Hattie", 274.01]
["Ada", "Laura", 271.52]
["Mildred", "Hilda", 270.01]
["Beulah", "Ryan", 269.9]
["Mike", "Margarito", 264.73]
["Jason", "Lawrence", 262.66]
["Clair", "Ted", 259.98]
["Gonzalo", "Camie", 257.42]
["Theron", "Amy", 250.4]
["Angelina", "Burt", 245.67]
["Martha", "James", 240.95]
["Salvador", "Morris", 240.33]
["Eileen", "Teresita", 237.75]
["Corina", "Eugene", 237.5]
["Herlinda", "Jasmin", 235.56]
["Alfredo", "Simone", 234.29]
["Ariel", "Bernardo", 232.58]
["Hester", "Carissa", 229.33]
["Richard", "Lance", 229.24]
["Frank", "Fermin", 227.61]
["Megan", "Daniel", 226.19]
["Leona", "Nyla", 221.93]
["Mattie", "Douglas", 221.49]
["Ann", "Karl", 221.14]
["Bobbi", "Patricia", 213.16]
["Jae", "Meagan", 209.78]
["Dianna", "Basil", 208.72]
["Kim", "Jane", 208.21]
["Andrea", "Johnny", 207.79]
["Monty", "Victor", 203.83]
["Sherry", "Kent", 202.72]
["Gregory", "Rosalie", 202.35]
["Dorothy", "Ruby", 201.52]
["Chelsea", "Pearl", 201.23]
["Daphne", "Joanne", 201.09]
["Katharine", "Amber", 200.57]
["Elisa", "Jorge", 200.23]
["Sarina", "Leticia", 194.77]
["Linsey", "Chad", 194.65]
["Erica", "Landon", 193.54]
["Russell", "Reggie", 192.56]
["Craig", "Lydia", 189.59]
["Tammy", "Josie", 189.51]
["Moon", "Vickie", 186.86]
["Ahmed", "Lamar", 186.09]
["Brittany", "Trevor", 183.78]
["Emil", "Susan", 182.72]
["Gerald", "Roy", 181.98]
["Lenard", "Jeffery", 177.81]
["Melinda", "Rebecca", 175.77]
["Alberta", "Alex", 175.22]
["Lorenzo", "Athena", 173.3]
["Loretta", "Tamara", 169.94]
["Donald", "Bob", 164.98]
["Phuong", "Nelson", 164.32]
["Barbara", "Randall", 163.26]
["Dean", "Elisabeth", 163.03]
["Brian", "Luther", 161.63]
["Jimmy", "Anita", 160.1]
["Laurence", "Jesse", 158.74]
["Wesley", "Priscilla", 156.15]
["Pat", "Jim", 155.29]
["Parthenia", "Rocky", 150.12]
["Katlyn", "Sidney", 148.4]
["Marth", "Von", 147.83]
["Jennie", "Jody", 146.73]
["Jeanne", "Tasha", 145.88]
["Sandra", "Aundrea", 144.56]
["Jeremy", "Jackie", 143.69]
["Harvey", "Selma", 143.25]
["Don", "Gwendolyn", 140.59]
["Arie", "Felicita", 138.82]
["Cesar", "Abel", 138.78]
["Frieda", "Roger", 137.22]
["Jimmie", "Olin", 137.11]
["Reynaldo", "Renee", 134.72]
["August", "Florence", 134.54]
["Agripina", "Sandy", 134.38]
["Shelly", "Joann", 131.08]
["Tina", "Wilburn", 129.87]
["Hildred", "Joan", 128.02]
["Elda", "Jami", 126.69]
["Sally", "Leslie", 124.08]
["Jocelyn", "Suzette", 123.02]
["Kristopher", "Valerie", 121.08]
["Teddy", "Fleta", 119.23]
["Robin", "Irma", 118]
["Phillip", "Clifford", 117.43]
["Collette", "Claude", 116.28]
["Bernice", "Ramonita", 115.67]
["Bernard", "Tony", 109.65]
["Jerome", "Felicia", 108.23]
["Joesph", "Charles", 107.34]
["Kristi", "Todd", 106.76]
["Leanne", "Darren", 105.21]
["Maude", "Oscar", 105.17]
["Martin", "Lorena", 104.3]
["Lena", "Helen", 104.14]
["Lucio", "Gene", 104.05]
["Fabiola", "Columbus", 103.25]
["Troy", "Ethel", 101.38]
["Marianne", "Carla", 97.77]
["Lynette", "Norma", 97.55]
["Pauletta", "Ray", 95.56]
["Francis", "Janette", 95.16]
["Robyn", "Lan", 86.42]
["Karen", "Alma", 85.16]
["Howard", "Ida", 84.31]
["Virginia", "Rosalinda", 82.54]
["Sterling", "Waldo", 82.48]
["Noma", "Teresa", 80.81]
["Lucie", "Daryl", 78.08]
["Angie", "Janetta", 77.13]
["Tommie", "Ocie", 72.71]
["Gail", "Edwin", 69.94]
["Antony", "Kenneth", 68.73]
["Daisey", "Dave", 68.07]
["Ismael", "Shana", 68.06]
["Carolyn", "Curtis", 64.34]
["Casey", "Jarod", 61.78]
["Margery", "Ellen", 60.67]
["Chester", "Jonathon", 58.97]
["Le", "Sarah", 58.47]
["Alicia", "Jonna", 56.26]
["Phil", "Terrance", 53.19]
["Alene", "Sherron", 52.8]
["Cameron", "Rose", 47.08]
["Lindsy", "Rhonda", 43.43]
["Myrtle", "Birdie", 43.31]
["Margit", "Lillian", 42.25]
["Clinton", "April", 42.13]
["Heidi", "Lindy", 41.98]
["Rita", "Allyson", 41.8]
["Arturo", "Jarred", 41.39]
["Natalie", "Chong", 40.91]
["Kelley", "Ezra", 40.4]
["Jan", "Mercedes", 39.84]
["Alvin", "Allison", 39.69]
["Leigh", "Ashley", 39.69]
["Joshua", "Michael", 39.56]
["Carolina", "Christen", 39.56]
["Pete", "Veronica", 39.47]
["Shawna", "Garry", 39.28]
["Hugh", "Grace", 39.17]
["Faith", "Mamie", 38.36]
["Marisol", "Dan", 38.09]
["Cora", "Kari", 37.58]
["Vincent", "Bobby", 37.28]
["Catherine", "Bill", 37.04]
["Lynda", "Stacy", 36.85]
["Kristy", "Carissa", 35.8]
["Kristofer", "Courtney", 35.72]
["Rafael", "Jospeh", 35.67]
["Emma", "Rena", 35.53]
["Frances", "Helena", 35.43]
["Paris", "Meagan", 35.43]
["Cathleen", "Christopher", 35.23]
["Delphine", "Zachery", 35.13]
["Paula", "Freddie", 35.1]
["Arlene", "Lonnie", 35.05]
["Elbert", "Delta", 35]
["Marshall", "Patsy", 34]
["Dana", "Marlin", 33.67]
["Sadie", "Patricia", 33.44]
["Bonita", "Katerine", 33.34]
["Erma", "Efren", 33]
["Gloria", "Douglas", 32.98]
["Gina", "Bernardo", 32.9]
["Michelle", "Nyla", 32.82]
["Sharon", "Estell", 32.8]
["Clare", "Harry", 32.47]
["Francisco", "Mellissa", 32.47]
["Tommy", "Karl", 32.42]
["Heidi", "Dion", 32.13]
["Clinton", "Larry", 32.06]
["Margit", "Arthur", 31.88]
["Cynthia", "James", 31.81]
["George", "Conrad", 31.74]
["Lindsy", "Anne", 31.74]
["Myrtle", "Jasmin", 31.51]
["Rita", "Simone", 31.47]
["Phil", "Caryn", 31.44]
["Arturo", "Colleen", 31.41]
["Cameron", "Marian", 31.37]
["Jan", "Calvin", 31.3]
["Kelley", "Anna", 31.28]
["Natalie", "Victor", 31.28]
["Alvin", "Mireille", 31.12]
["Leigh", "Teresita", 31.11]
["Joshua", "Debora", 31.01]
["Jayme", "Lorene", 30.86]
["Carolina", "Damian", 30.8]
["Shawna", "Belinda", 30.78]
["Austin", "Marcel", 30.56]
["Pete", "Wm", 30.54]
["Faith", "Nick", 30.53]
["Hugh", "Minnie", 30.5]
["Cora", "Eugene", 30.47]
["Vincent", "Morris", 30.46]
["Alene", "Kent", 30.4]
["Johnie", "Amy", 30.32]
["Shirley", "Jamila", 30.25]
["Marisol", "Pedro", 30.18]
["Alicia", "Micheal", 30.09]
["Catherine", "Lloyd", 30.09]
["Kristy", "Jack", 29.94]
["Margery", "Jacqueline", 29.82]
["Lynda", "Joel", 29.8]
["Kristofer", "Faye", 29.79]
["Casey", "Patrick", 29.69]
["Chester", "Malinda", 29.44]
["Le", "Vanessa", 29.25]
["Rafael", "Sonia", 29.25]
["Emma", "Melanie", 29.19]
["Frances", "Cathi", 29.07]
["Carolyn", "Ruby", 29.06]
["Gail", "Ernest", 28.94]
["Cathleen", "Charline", 28.9]
["Paris", "Fannie", 28.85]
["Wilhelmina", "Daniel", 28.68]
["Daisey", "Darla", 28.66]
["Antony", "Fermin", 28.52]
["Delphine", "Lance", 28.49]
["Peggy", "Jane", 28.4]
["Ismael", "Rosalie", 28.39]
["Bradford", "Laura", 28.22]
["Tommie", "Malcolm", 28.13]
["Melissa", "Basil", 28.11]
["Penny", "Burt", 27.55]
["Gabrielle", "Sylvia", 27.51]
["Paula", "Johnny", 27.49]
["Ricardo", "Nona", 27.48]
["Millie", "Eva", 27.34]
["Elsa", "Tracy", 27.28]
["Shameka", "Andre", 27.21]
["Tania", "Sofia", 27.08]
["Lindsay", "Essie", 27.02]
["Jewel", "Hattie", 26.94]
["Arlene", "Kris", 26.6]
["Virginia", "Fletcher", 26.55]
["Rory", "Pearl", 26.4]
["Estelle", "Sherrie", 26.38]
["Lucie", "Clark", 26.27]
["Angie", "Agnes", 26.08]
["Howard", "Reatha", 25.87]
["Bertha", "Joanne", 25.87]
["Elbert", "Sonja", 25.47]
["Karen", "Camie", 25.46]
["Noma", "Erika", 24.92]
["Joe", "Vivian", 24.76]
["Carol", "Ted", 24.44]
["Robyn", "Miguel", 24.05]
["Jose", "Ronnie", 24.04]
["Ilene", "Allena", 23.67]
["Sterling", "Mollie", 23.4]
["Shaun", "Jordan", 22.77]
["Carmen", "Margarito", 22.59]
["Byron", "Shauna", 22.39]
["Lowell", "Delmer", 22.36]
["Marshall", "Lawrence", 21.97]
["Polly", "Nichole", 21.82]
["Dana", "Hilda", 20.79]
["Elvira", "Sharell", 20.55]
["Armando", "Josephine", 20.05]
["Myron", "Cheryl", 20.01]
["Mark", "Anthony", 19.19]
["Brett", "Gregorio", 19.06]
["Samuel", "Josue", 18.47]
["Pamela", "Clarice", 18.25]
["Brandi", "Bob", 17.92]
["Marco", "Truman", 17.77]
["Sadie", "Elsie", 17.41]
["Bonita", "Ryan", 17.18]
["Bernard", "Irving", 17.11]
["Eleanor", "Vickie", 16.94]
["Jeannette", "Lydia", 16.71]
["Pauletta", "Jamie", 16.5]
["Marianne", "Nelson", 16.39]
["Kayleigh", "Randall", 16.31]
["Gloria", "Janice", 16.24]
["Erma", "Gerry", 16.22]
["Liza", "Amber", 16.2]
["Kathryn", "Leonard", 16.11]
["Francis", "Lucy", 16.03]
["Lynette", "Elisabeth", 15.96]
["Elly", "Benny", 15.87]
["Gregg", "Landon", 15.8]
["Robby", "Josie", 15.77]
["Alice", "Griselda", 15.7]
["Louise", "Leticia", 15.48]
["Jerome", "Tonya", 15.43]
["Leanne", "Chad", 15.36]
["Gina", "Sallie", 15.11]
["Angela", "Sheree", 14.99]
["Maude", "Sidney", 14.59]
["Kristi", "Rocky", 14.08]
["Michelle", "Brandy", 14]
["Herbert", "Jorge", 13.95]
["Shiela", "Edmundo", 13.95]
["Martin", "Marie", 13.79]
["Clare", "Margret", 13.6]
["Joesph", "Anita", 13.56]
["Sharon", "Reggie", 13.5]
["Clyde", "Scott", 13.26]
["Gladys", "Jerri", 12.97]
["Troy", "Tamara", 12.91]
["Audrey", "Priscilla", 12.87]
["Francisco", "Jesse", 12.64]
["Lena", "Von", 12.48]
["Alisha", "Luther", 12.32]
["Larue", "Suzanna", 12.26]
["Kathy", "Michele", 12.14]
["Terri", "Jody", 12.13]
["Fabiola", "Rebecca", 11.93]
["Renaldo", "Jackie", 11.83]
["Tyrone", "Aundrea", 11.72]
["Dolores", "Athena", 11.65]
["Toby", "Alex", 11.65]
["Cecelia", "Gwendolyn", 11.64]
["Patty", "Jon", 11.59]
["Kerry", "Olga", 11.56]
["Bernice", "Trevor", 11.56]
["Allan", "Lamar", 11.55]
["Lucio", "Danielle", 11.46]
["Collette", "Lakiesha", 11.15]
["Ena", "Jeffery", 11.04]
["Judith", "Dawna", 10.99]
["Randi", "Selma", 10.68]
["Phillip", "Tasha", 10.63]
["Elijah", "Danny", 10.61]
["Robin", "Jim", 10.37]
["Milton", "Diane", 9.67]
["Clayton", "Manuel", 9.64]
["Tommy", "Louis", 9.43]
["Teddy", "Elenor", 9.38]
["Margit", "Shawn", 9.3]
["Cynthia", "Jodi", 9.26]
["Julie", "Edgar", 9.24]
["Heidi", "Lauren", 9.22]
["Clinton", "Evelyn", 9.21]
["George", "Roy", 9.12]
["Hilary", "Susan", 9.07]
["Jacquelyn", "Bev", 8.88]
["Jessie", "Eddie", 8.78]
["Myrtle", "Jenny", 8.77]
["Melina", "Marta", 8.76]
["Lindsy", "Terry", 8.64]
["Ronda", "Jeanette", 8.63]
["Barry", "Winter", 8.61]
["Lacy", "Jonathan", 8.5]
["Kara", "Ofelia", 8.41]
["Lee", "Brenda", 8.3]
["Sally", "Gretchen", 8.1]
["Rita", "Mabel", 7.7]
["Arturo", "Madeline", 7.6]
["Kristopher", "Wanda", 7.25]
["Phil", "Tom", 7.06]
["Jan", "Kurt", 7.05]
["Kelley", "Alpha", 7.03]
["Cameron", "Lovella", 6.62]
["Natalie", "Elana", 6.57]
["Alexandria", "Lester", 6.46]
["Jayme", "Charlene", 6.45]
["Alvin", "Rashad", 6.27]
["Ruth", "Jaime", 6.25]
["Carolina", "Glen", 6.25]
["Cassandra", "Roseann", 5.87]
["Joshua", "Rocio", 5.86]
["Leigh", "Randy", 5.82]
["Jocelyn", "Carl", 5.64]
["Pete", "Paul", 5.55]
["Austin", "Charmaine", 5.54]
["Faith", "Lois", 5.53]
["Delbert", "Jesus", 5.5]
["Shawna", "Debra", 5.43]
["Hugh", "Roosevelt", 5.26]
["Cora", "Felicita", 5.12]
["Alicia", "German", 5.11]
["Vincent", "Brandon", 5.1]
["Marisol", "Isaac", 4.86]
["Shirley", "Ian", 4.6]
["Catherine", "Roger", 4.56]
["Alene", "Allen", 4.47]
["Johnie", "Valentin", 4.35]
["Hildred", "Lyndsey", 4.3]
["Edward", "Goldie", 4.12]
["Kristy", "Jerri", 4.01]
["Elda", "Lakendra", 3.86]
["Margery", "Luther", 3.85]
["Alton", "Priscilla", 3.84]
["Steve", "Tamara", 3.84]
["Lynda", "Shelley", 3.79]
["Chester", "Scott", 3.75]
["Le", "Jesse", 3.75]
["Kristofer", "Von", 3.73]
["Kyle", "Ryan", 3.73]
["Casey", "Neil", 3.64]
["Rafael", "Michele", 3.6]
["Cherie", "Elsie", 3.6]
["Tina", "Brandy", 3.6]
["Frances", "Rocky", 3.59]
["Emma", "Suzanna", 3.59]
["Sun", "Nelson", 3.57]
["Inez", "Reggie", 3.55]
["Shane", "Margret", 3.54]
["Williemae", "Anita", 3.49]
["Carolyn", "Josue", 3.49]
["Gail", "Truman", 3.48]
["Antony", "Jamie", 3.46]
["Shelly", "Bob", 3.43]
["Julio", "Irving", 3.43]
["Wilhelmina", "Ella", 3.41]
["Daisey", "Gregorio", 3.38]
["Delphine", "Jorge", 3.37]
["Cathleen", "Marie", 3.35]
["Paris", "Ramona", 3.32]
["Blair", "Clarice", 3.3]
["Peggy", "Lydia", 3.28]
["Lynn", "Janice", 3.27]
["Tanesha", "Anthony", 3.26]
["Stanley", "Edmundo", 3.24]
["Ahmad", "Vickie", 3.23]
["Melodie", "Randall", 3.21]
["Nicholas", "Jody", 3.18]
["Ismael", "Sidney", 3.12]
["Gavin", "Judy", 3.02]
["Annie", "Gerry", 2.91]
["Melody", "Abel", 2.7]
["Emeline", "Rebecca", 2.63]
["Edward", "Emily", 2.59]
["Penny", "Maria", 2.55]
["Johnie", "Amber", 2.47]
["Elda", "Sheree", 2.44]
["Margery", "Jackie", 2.44]
