["Melinda", "Ron", 2775.01]
["Clarence", "Derek", 1026.34]
["Ramon", "Paige", 1016.5]
["Wendy", "Glen", 1012.03]
["Barry", "Hayden", 998.58]
["Alexandria", "Frankie", 997.89]
["Alisha", "Shela", 991.03]
["Myron", "Luis", 979.99]
["Polly", "Ollie", 971.89]
["Elsa", "Caroline", 965.37]
["Estelle", "Billie", 964.92]
["Wilhelmina", "Angelia", 953.67]
["Penny", "Samantha", 947.68]
["Bertha", "Matt", 946.19]
["Lowell", "Erlene", 945.27]
["Ilene", "Abbie", 937.36]
["Kathy", "Madison", 934.82]
["Elly", "Ashlee", 928.74]
["Gregg", "Vicky", 924.62]
["Emeline", "Latrice", 924.07]
["Heath", "Horace", 923.85]
["Suzanne", "Joyce", 921.86]
["Elmer", "Vanesa", 920.6]
["Mozelle", "Adriana", 919.87]
["Tatiana", "Walter", 917.07]
["Kathleen", "Jennifer", 913.48]
["Miriam", "Annette", 908.31]
["Blair", "Christine", 904.84]
["Edward", "Toshia", 901.63]
["Alton", "Elias", 897.61]
["Sun", "Monique", 896.93]
["Melody", "Efrain", 895.53]
["Gilda", "Belen", 891.73]
["Nathaniel", "Marvin", 891.09]
["Moses", "Roseann", 885.64]
["Octavio", "Debra", 885.6]
["Nola", "Elana", 878.83]
["Carrie", "Jesus", 877.33]
["Tanya", "Serena", 876.61]
["Lynn", "Warren", 870.43]
["Gladys", "Melvin", 857.41]
["Louise", "Earnest", 852.85]
["Elijah", "Kirsten", 848.97]
["Ena", "Kirby", 848.31]
["Duane", "Leda", 846.81]
["Casandra", "Randal", 846.11]
["Doris", "Isaac", 836.29]
["Claire", "Eddie", 827.93]
["Jared", "Madeline", 826.52]
["Loren", "Winter", 823.16]
["Debbie", "Jonathan", 822.58]
["Frederick", "Gretchen", 821.02]
["Lori", "Wanda", 819.53]
["Juanita", "Charmaine", 818.37]
["Glenn", "Maria", 817.9]
["Karla", "Gary", 816.81]
["John", "Ramona", 813.91]
["Janet", "Carl", 810.17]
["Lea", "Valentin", 809.12]
["Dennis", "German", 808.33]
["Jessica", "Mabel", 802.92]
["Mindy", "Brenda", 799.94]
["Karyn", "Jaime", 799.44]
["Hector", "Lakiesha", 790.1]
["Yvette", "Jodi", 785.38]
["Laurie", "Rashad", 784.86]
["Bruce", "Diane", 777.99]
["Clara", "Shawn", 776.88]
["Stephen", "Dawna", 773.68]
["Latisha", "Edmundo", 767.7]
["Ruben", "Kris", 758.04]
["Wayne", "Agnes", 756.03]
["Aurelia", "Pedro", 749.66]
["Marlene", "Essie", 746.15]
["Kira", "Sallie", 744.11]
["Jill", "Josue", 739.43]
["Colby", "Shauna", 737.89]
["Abby", "Nona", 726.82]
["Thomas", "Sylvia", 725.75]
["Wilma", "Sofia", 715.16]
["Joanna", "Ernest", 713.08]
["Korey", "Sonja", 712.21]
["Leon", "Calvin", 706.35]
["Pilar", "Lonnie", 701.36]
["Ilana", "Grace", 696.18]
["Aaron", "Veronica", 695.36]
["Roxie", "Stacy", 690.73]
["Lelia", "Malcolm", 688.36]
["Willis", "Fannie", 684.89]
["Cyrus", "Mellissa", 677.9]
["June", "Patsy", 674.38]
["Lawerence", "Marlin", 674.2]
["Norman", "Courtney", 671.31]
["Arnold", "Helena", 667.24]
["Fred", "Kari", 663.97]
["Archie", "Delta", 663.41]
["Stephanie", "Zachery", 662.49]
["Taylor", "Dan", 658.32]
["Ronald", "Jospeh", 658.03]
["Julius", "Debora", 657.61]
["Gerri", "Minnie", 656.96]
["Victoria", "Reatha", 656.74]
["Antionette", "Nichole", 654.16]
["Amanda", "Jordan", 652.99]
["Clifton", "Anthony", 651.41]
["Christina", "Mollie", 649.95]
["Wade", "Josephine", 648.54]
["Dustin", "Leonard", 647.82]
["Eric", "Benny", 647.06]
["Wilbur", "Michele", 644.46]
["Sheri", "Olga", 643.61]
["Albert", "Suzanna", 641.16]
["Jenifer", "Ofelia", 640.23]
["Jeff", "Joseph", 639.58]
["Kevin", "Emily", 636.51]
["Cheri", "Betty", 631.61]
["Ashlie", "Tracie", 631.23]
["Jerry", "Judy", 627.22]
["Bobbie", "Madelyn", 624.25]
["Angel", "Neil", 620.21]
["Jeffrey", "Tiffany", 619.78]
["Andrew", "Dale", 619.04]
["Della", "Araceli", 618.99]
["Connie", "Alan", 617.25]
["Adam", "Hazel", 613.1]
["Leah", "Darrell", 611.5]
["Delma", "Brandon", 606.38]
["Whitney", "Lois", 602.09]
["Lucille", "Tom", 600.34]
["Jean", "Charlene", 599.01]
["Harlan", "Paul", 598.95]
["Shannon", "Lakendra", 598.42]
["Dawn", "Goldie", 597.79]
["Brad", "Ella", 596.31]
["Thanh", "Allen", 595.18]
["Marion", "Shelley", 594.03]
["Oliva", "Randy", 589.53]
["Leroy", "Louis", 581.13]
["Delilah", "Marta", 579.94]
["Travis", "Terry", 578.24]
["Armand", "Jeanette", 577.05]
["Stacey", "Lovella", 576.46]
["Peter", "Kurt", 575.13]
["Katie", "Lauren", 571.33]
["Cory", "Danny", 564.17]
["Shakita", "Bev", 563.72]
["Kendra", "Alpha", 563.44]
["Raymond", "Bonnie", 560.71]
["Julie", "Drew", 549.84]
["Clyde", "Diana", 545.74]
["Allan", "Earl", 545.55]
["Brandi", "Elli", 536.77]
["Patty", "Annabelle", 535.61]
["Kayleigh", "Phyllis", 530.82]
["Alice", "Kelly", 529.57]
["Jeannette", "Dalia", 528.02]
["Brett", "Rex", 525.43]
["Mark", "Gwen", 525.06]
["Pamela", "Alison", 523.11]
["Melissa", "Nettie", 509.96]
["Bradford", "Antonio", 509.52]
["Rory", "Rodney", 506.91]
["Joe", "Gordon", 505.7]
["Carol", "Preston", 503.79]
["Elvira", "Constance", 503.69]
["Kerry", "Sheba", 503.46]
["Toby", "Homer", 503.18]
["Hilary", "Marisa", 501.74]
["Terri", "Effie", 497.19]
["Audrey", "Marylee", 496.3]
["Kara", "Joni", 493.46]
["Milton", "Bradley", 492.01]
["Shiela", "Beverly", 486.53]
["Marco", "Henry", 478.19]
["Samuel", "Julia", 475.2]
["Byron", "Deborah", 470.13]
["Robby", "Vernon", 469.73]
["Herbert", "Adeline", 469.35]
["Randi", "Donna", 468.93]
["Ronda", "Taryn", 468.67]
["Tyrone", "Eloisa", 461.92]
["Williemae", "Ronni", 461.44]
["Melodie", "Marina", 460.72]
["Julio", "William", 458.51]
["Inez", "Ginny", 457.82]
["Jacquelyn", "Lu", 452.81]
["Jessie", "Bryan", 451.33]
["Cassandra", "Tamera", 451.29]
["Delbert", "Manual", 449.4]
["Lacy", "Nova", 446.66]
["Kyle", "Tyler", 445.28]
["Annie", "Rachel", 444.52]
["Andy", "Ivy", 442.49]
["Morgan", "Stella", 441.35]
["Nicholas", "Velma", 439.58]
["Ira", "Roland", 438.14]
["Nathan", "Margaret", 437.57]
["Val", "Greg", 436.06]
["Ahmad", "Claud", 433.43]
["Marcus", "Elenor", 419.47]
["Kristin", "Jenny", 417.61]
["Santos", "Manuel", 414]
["Williams", "Evelyn", 413.45]
["Jin", "Marie", 403.53]
["Brent", "Brandy", 401.58]
["Son", "Irving", 396.22]
["Brittani", "Allena", 392.41]
["Dixie", "Cheryl", 392.35]
["Alfred", "Gregorio", 392.26]
["Sheila", "Delmer", 391.63]
["Stephan", "Ronnie", 387.5]
["Chris", "Clarice", 386.89]
["Ricky", "Anna", 376.9]
["Philip", "Estell", 374.96]
["Jenelle", "Rena", 370.02]
["Billy", "Chong", 362.68]
["Cecile", "April", 360.86]
["Denise", "Lindy", 360.64]
["Lisa", "Rhonda", 359.12]
["Edith", "Allyson", 358.65]
["Linda", "Ezra", 358.08]
["Felipe", "Ashley", 357.68]
["Wilfredo", "Michael", 356.96]
["Ralph", "Garry", 354.55]
["Cary", "Bill", 354.54]
["Rodolfo", "Efren", 349.57]
["Van", "Marcel", 349.46]
["Elizabeth", "Colleen", 346.91]
["Holly", "Belinda", 346.42]
["Ernestine", "Darla", 343.98]
["Dianne", "Melanie", 342.58]
["Eduardo", "Joel", 338.68]
["Matilda", "Dion", 335.54]
["Zachary", "Anne", 334.81]
["Nancy", "Caryn", 334.71]
["Marsha", "Faye", 332.6]
["Pauline", "Lloyd", 332.12]
["Delores", "Patrick", 328.65]
["Robert", "Vanessa", 327.69]
["Elaine", "Micheal", 324.68]
["Harold", "Charline", 324.16]
["Roberta", "Jamila", 322.69]
["Edna", "Mercedes", 313.02]
["Malcom", "Christen", 309.37]
["Alejandra", "Lorene", 307.06]
["Pennie", "Sonia", 305.51]
["Jerrell", "Conrad", 301.35]
["Thelma", "Arthur", 300.68]
["Monika", "Freddie", 297.33]
["Cindy", "Katerine", 296.9]
["Silvia", "Harry", 295.66]
["Miranda", "Marian", 294.55]
["Dwight", "Damian", 293.9]
["Maureen", "Malinda", 293.62]
["Agatha", "Cathi", 292.81]
["Kirk", "Wm", 290.66]
["Alyssa", "Mireille", 289.98]
["David", "Jacqueline", 287.59]
["Keith", "Eva", 286.07]
["Virgil", "Tracy", 285.8]
["Cristina", "Sherrie", 285.63]
["Harley", "Erika", 285]
["Jacob", "Clark", 283.56]
["Jo", "Andre", 280.24]
["Cecilia", "Sharell", 279.88]
["Gustavo", "Miguel", 277.19]
["Flora", "Hattie", 274.01]
["Ada", "Laura", 271.52]
["Mildred", "Hilda", 270.02]
["Beulah", "Ryan", 269.91]
["Mike", "Margarito", 264.73]
["Jason", "Lawrence", 262.66]
["Clair", "Ted", 259.99]
["Gonzalo", "Camie", 257.43]
["Theron", "Amy", 250.4]
["Angelina", "Burt", 245.67]
["Martha", "James", 240.95]
["Salvador", "Morris", 240.33]
["Eileen", "Teresita", 237.75]
["Corina", "Eugene", 237.51]
["Herlinda", "Jasmin", 235.56]
["Alfredo", "Simone", 234.29]
["Ariel", "Bernardo", 232.58]
["Hester", "Carissa", 229.33]
["Richard", "Lance", 229.25]
["Frank", "Fermin", 227.62]
["Megan", "Daniel", 226.19]
["Leona", "Nyla", 221.94]
["Mattie", "Douglas", 221.49]
["Ann", "Karl", 221.15]
["Bobbi", "Patricia", 213.16]
["Jae", "Meagan", 209.78]
["Dianna", "Basil", 208.73]
["Kim", "Jane", 208.21]
["Andrea", "Johnny", 207.8]
["Monty", "Victor", 203.84]
["Sherry", "Kent", 202.72]
["Gregory", "Rosalie", 202.36]
["Dorothy", "Ruby", 201.53]
["Chelsea", "Pearl", 201.24]
["Daphne", "Joanne", 201.09]
["Katharine", "Amber", 200.57]
["Elisa", "Jorge", 200.25]
["Sarina", "Leticia", 194.77]
["Linsey", "Chad", 194.65]
["Erica", "Landon", 193.53]
["Russell", "Reggie", 192.56]
["Craig", "Lydia", 189.59]
["Tammy", "Josie", 189.51]
["Moon", "Vickie", 186.86]
["Ahmed", "Lamar", 186.09]
["Brittany", "Trevor", 183.78]
["Emil", "Susan", 182.72]
["Gerald", "Roy", 181.98]
["Lenard", "Jeffery", 177.81]
["Melinda", "Rebecca", 175.77]
["Alberta", "Alex", 175.22]
["Lorenzo", "Athena", 173.31]
["Loretta", "Tamara", 169.95]
["Donald", "Bob", 164.99]
["Phuong", "Nelson", 164.33]
["Barbara", "Randall", 163.27]
["Dean", "Elisabeth", 163.04]
["Brian", "Luther", 161.63]
["Jimmy", "Anita", 160.11]
["Laurence", "Jesse", 158.75]
["Wesley", "Priscilla", 156.14]
["Pat", "Jim", 155.3]
["Parthenia", "Rocky", 150.13]
["Katlyn", "Sidney", 148.4]
["Marth", "Von", 147.83]
["Jennie", "Jody", 146.73]
["Jeanne", "Tasha", 145.88]
["Sandra", "Aundrea", 144.57]
["Jeremy", "Jackie", 143.69]
["Harvey", "Selma", 143.25]
["Don", "Gwendolyn", 140.59]
["Arie", "Felicita", 138.81]
["Cesar", "Abel", 138.79]
["Frieda", "Roger", 137.23]
["Jimmie", "Olin", 137.11]
["Reynaldo", "Renee", 134.73]
["August", "Florence", 134.55]
["Agripina", "Sandy", 134.38]
["Shelly", "Joann", 131.08]
["Tina", "Wilburn", 129.88]
["Hildred", "Joan", 128.03]
["Elda", "Jami", 126.69]
["Sally", "Leslie", 124.09]
["Jocelyn", "Suzette", 123.02]
["Kristopher", "Valerie", 121.09]
["Teddy", "Fleta", 119.23]
["Robin", "Irma", 118.01]
["Phillip", "Clifford", 117.44]
["Collette", "Claude", 116.29]
["Bernice", "Ramonita", 115.67]
["Bernard", "Tony", 109.66]
["Jerome", "Felicia", 108.23]
["Joesph", "Charles", 107.35]
["Kristi", "Todd", 106.76]
["Leanne", "Darren", 105.21]
["Maude", "Oscar", 105.18]
["Martin", "Lorena", 104.3]
["Lena", "Helen", 104.15]
["Lucio", "Gene", 104.05]
["Fabiola", "Columbus", 103.25]
["Troy", "Ethel", 101.38]
["Marianne", "Carla", 97.77]
["Lynette", "Norma", 97.55]
["Pauletta", "Ray", 95.57]
["Francis", "Janette", 95.17]
["Robyn", "Lan", 86.42]
["Karen", "Alma", 85.16]
["Howard", "Ida", 84.32]
["Virginia", "Rosalinda", 82.54]
["Sterling", "Waldo", 82.48]
["Noma", "Teresa", 80.82]
["Lucie", "Daryl", 78.09]
["Angie", "Janetta", 77.14]
["Tommie", "Ocie", 72.71]
["Gail", "Edwin", 69.94]
["Antony", "Kenneth", 68.74]
["Daisey", "Dave", 68.08]
["Ismael", "Shana", 68.06]
["Carolyn", "Curtis", 64.34]
["Casey", "Jarod", 61.78]
["Margery", "Ellen", 60.68]
["Chester", "Jonathon", 58.98]
["Le", "Sarah", 58.48]
["Alicia", "Jonna", 56.27]
["Phil", "Terrance", 53.2]
["Alene", "Sherron", 52.81]
["Cameron", "Rose", 47.09]
["Lindsy", "Rhonda", 43.43]
["Myrtle", "Birdie", 43.31]
["Margit", "Lillian", 42.26]
["Clinton", "April", 42.13]
["Heidi", "Lindy", 41.98]
["Rita", "Allyson", 41.81]
["Arturo", "Jarred", 41.39]
["Natalie", "Chong", 40.92]
["Kelley", "Ezra", 40.41]
["Jan", "Mercedes", 39.85]
["Alvin", "Allison", 39.69]
["Leigh", "Ashley", 39.68]
["Joshua", "Christen", 39.58]
["Carolina", "Michael", 39.57]
["Pete", "Veronica", 39.47]
["Shawna", "Garry", 39.28]
["Hugh", "Grace", 39.18]
["Faith", "Mamie", 38.37]
["Cora", "Dan", 38.08]
["Marisol", "Kari", 37.58]
["Vincent", "Bobby", 37.28]
["Catherine", "Bill", 37.05]
["Lynda", "Stacy", 36.84]
["Kristy", "Carissa", 35.82]
["Kristofer", "Courtney", 35.71]
["Rafael", "Jospeh", 35.67]
["Emma", "Rena", 35.54]
["Frances", "Helena", 35.43]
["Paris", "Meagan", 35.43]
["Cathleen", "Christopher", 35.24]
["Delphine", "Zachery", 35.14]
["Paula", "Freddie", 35.1]
["Arlene", "Lonnie", 35.06]
["Elbert", "Delta", 35]
["Marshall", "Patsy", 34]
["Dana", "Marlin", 33.69]
["Sadie", "Patricia", 33.44]
["Bonita", "Katerine", 33.33]
["Erma", "Efren", 33.01]
["Gloria", "Douglas", 33]
["Gina", "Bernardo", 32.91]
["Michelle", "Nyla", 32.83]
["Sharon", "Estell", 32.81]
["Clare", "Harry", 32.49]
["Francisco", "Mellissa", 32.46]
["Tommy", "Karl", 32.41]
["Heidi", "Dion", 32.13]
["Clinton", "Larry", 32.06]
["Margit", "Arthur", 31.88]
["Cynthia", "James", 31.81]
["George", "Anne", 31.74]
["Lindsy", "Conrad", 31.73]
["Myrtle", "Jasmin", 31.53]
["Rita", "Simone", 31.47]
["Arturo", "Caryn", 31.45]
["Phil", "Colleen", 31.41]
["Cameron", "Marian", 31.37]
["Jan", "Calvin", 31.31]
["Kelley", "Anna", 31.28]
["Natalie", "Victor", 31.28]
["Alvin", "Mireille", 31.13]
["Leigh", "Teresita", 31.12]
["Jayme", "Debora", 31.01]
["Joshua", "Lorene", 30.86]
["Carolina", "Damian", 30.8]
["Shawna", "Belinda", 30.78]
["Pete", "Marcel", 30.56]
["Austin", "Nick", 30.54]
["Faith", "Wm", 30.53]
["Hugh", "Minnie", 30.51]
["Marisol", "Eugene", 30.47]
["Vincent", "Morris", 30.46]
["Alene", "Kent", 30.41]
["Johnie", "Amy", 30.32]
["Shirley", "Jamila", 30.26]
["Cora", "Pedro", 30.17]
["Catherine", "Micheal", 30.1]
["Alicia", "Lloyd", 30.1]
["Kristy", "Jack", 29.94]
["Margery", "Jacqueline", 29.82]
["Lynda", "Faye", 29.8]
["Kristofer", "Joel", 29.79]
["Casey", "Patrick", 29.69]
["Chester", "Malinda", 29.44]
["Le", "Sonia", 29.25]
["Rafael", "Vanessa", 29.25]
["Emma", "Melanie", 29.21]
["Frances", "Cathi", 29.08]
["Carolyn", "Ruby", 29.07]
["Gail", "Ernest", 28.94]
["Cathleen", "Charline", 28.91]
["Paris", "Fannie", 28.84]
["Wilhelmina", "Daniel", 28.68]
["Daisey", "Darla", 28.66]
["Antony", "Fermin", 28.52]
["Delphine", "Lance", 28.48]
["Peggy", "Jane", 28.41]
["Ismael", "Rosalie", 28.38]
["Bradford", "Laura", 28.23]
["Tommie", "Malcolm", 28.14]
["Melissa", "Basil", 28.11]
["Penny", "Burt", 27.55]
["Gabrielle", "Sylvia", 27.53]
["Paula", "Nona", 27.5]
["Ricardo", "Johnny", 27.48]
["Millie", "Eva", 27.34]
["Elsa", "Tracy", 27.29]
["Shameka", "Andre", 27.22]
["Tania", "Sofia", 27.08]
["Lindsay", "Essie", 27.02]
["Jewel", "Hattie", 26.96]
["Arlene", "Kris", 26.6]
["Virginia", "Fletcher", 26.55]
["Rory", "Pearl", 26.41]
["Estelle", "Sherrie", 26.4]
["Lucie", "Clark", 26.27]
["Angie", "Agnes", 26.07]
["Howard", "Joanne", 25.89]
["Bertha", "Sonja", 25.87]
["Elbert", "Reatha", 25.48]
["Karen", "Camie", 25.47]
["Noma", "Erika", 24.91]
["Joe", "Vivian", 24.77]
["Carol", "Ted", 24.45]
["Robyn", "Ronnie", 24.04]
["Jose", "Miguel", 24.04]
["Ilene", "Allena", 23.67]
["Sterling", "Mollie", 23.42]
["Shaun", "Jordan", 22.77]
["Carmen", "Margarito", 22.59]
["Byron", "Shauna", 22.41]
["Lowell", "Delmer", 22.36]
["Marshall", "Lawrence", 21.98]
["Polly", "Nichole", 21.82]
["Dana", "Hilda", 20.79]
["Elvira", "Josephine", 20.55]
["Armando", "Sharell", 20.07]
["Myron", "Cheryl", 20.02]
["Mark", "Anthony", 19.2]
["Brett", "Gregorio", 19.06]
["Samuel", "Josue", 18.48]
["Pamela", "Clarice", 18.25]
["Brandi", "Bob", 17.93]
["Marco", "Truman", 17.78]
["Sadie", "Elsie", 17.41]
["Bonita", "Ryan", 17.21]
["Bernard", "Irving", 17.12]
["Eleanor", "Vickie", 16.94]
["Jeannette", "Lydia", 16.71]
["Pauletta", "Jamie", 16.5]
["Marianne", "Nelson", 16.39]
["Kayleigh", "Randall", 16.3]
["Erma", "Janice", 16.21]
["Gloria", "Gerry", 16.21]
["Liza", "Amber", 16.2]
["Kathryn", "Leonard", 16.11]
["Francis", "Lucy", 16.02]
["Lynette", "Elisabeth", 15.97]
["Elly", "Benny", 15.88]
["Gregg", "Landon", 15.82]
["Robby", "Josie", 15.78]
["Alice", "Griselda", 15.7]
["Louise", "Leticia", 15.49]
["Jerome", "Tonya", 15.43]
["Leanne", "Chad", 15.36]
["Gina", "Sallie", 15.1]
["Angela", "Sheree", 14.99]
["Maude", "Sidney", 14.59]
["Kristi", "Rocky", 14.1]
["Michelle", "Brandy", 13.99]
["Herbert", "Jorge", 13.96]
["Shiela", "Edmundo", 13.94]
["Martin", "Margret", 13.82]
["Clare", "Marie", 13.59]
["Joesph", "Anita", 13.55]
["Sharon", "Reggie", 13.49]
["Clyde", "Scott", 13.27]
["Gladys", "Jerri", 12.96]
["Troy", "Tamara", 12.91]
["Audrey", "Priscilla", 12.87]
["Francisco", "Jesse", 12.66]
["Lena", "Von", 12.46]
["Alisha", "Luther", 12.32]
["Larue", "Suzanna", 12.27]
["Kathy", "Michele", 12.16]
["Terri", "Jody", 12.14]
["Fabiola", "Rebecca", 11.94]
["Renaldo", "Jackie", 11.84]
["Tyrone", "Aundrea", 11.72]
["Dolores", "Athena", 11.66]
["Toby", "Alex", 11.65]
["Cecelia", "Gwendolyn", 11.64]
["Patty", "Jon", 11.6]
["Bernice", "Olga", 11.58]
["Kerry", "Danielle", 11.57]
["Allan", "Lamar", 11.54]
["Lucio", "Trevor", 11.48]
["Collette", "Lakiesha", 11.15]
["Ena", "Jeffery", 11.04]
["Judith", "Dawna", 11]
["Randi", "Selma", 10.68]
["Phillip", "Tasha", 10.64]
["Elijah", "Danny", 10.62]
["Robin", "Jim", 10.37]
["Milton", "Diane", 9.67]
["Clayton", "Manuel", 9.65]
["Tommy", "Louis", 9.45]
["Teddy", "Elenor", 9.38]
["Margit", "Shawn", 9.31]
["Cynthia", "Jodi", 9.27]
["Heidi", "Edgar", 9.25]
["Julie", "Lauren", 9.24]
["Clinton", "Roy", 9.22]
["George", "Evelyn", 9.13]
["Hilary", "Susan", 9.09]
["Jacquelyn", "Bev", 8.89]
["Jessie", "Eddie", 8.79]
["Myrtle", "Jenny", 8.77]
["Melina", "Marta", 8.77]
["Lindsy", "Terry", 8.67]
["Ronda", "Jeanette", 8.64]
["Barry", "Jonathan", 8.62]
["Lacy", "Winter", 8.49]
["Kara", "Ofelia", 8.4]
["Lee", "Brenda", 8.3]
["Sally", "Gretchen", 8.11]
["Rita", "Mabel", 7.71]
["Phil", "Madeline", 7.6]
["Arturo", "Wanda", 7.24]
["Kristopher", "Tom", 7.06]
["Jan", "Kurt", 7.05]
["Kelley", "Alpha", 7.04]
["Cameron", "Lovella", 6.63]
["Natalie", "Elana", 6.59]
["Alexandria", "Lester", 6.47]
["Alvin", "Charlene", 6.45]
["Ruth", "Rashad", 6.28]
["Joshua", "Jaime", 6.27]
["Carolina", "Glen", 6.25]
["Cassandra", "Rocio", 5.87]
["Jayme", "Roseann", 5.86]
["Leigh", "Randy", 5.82]
["Jocelyn", "Carl", 5.64]
["Austin", "Paul", 5.56]
["Pete", "Charmaine", 5.55]
["Faith", "Lois", 5.53]
["Delbert", "Jesus", 5.5]
["Shawna", "Debra", 5.44]
["Hugh", "Roosevelt", 5.26]
["Marisol", "Felicita", 5.15]
["Cora", "German", 5.11]
["Vincent", "Brandon", 5.09]
["Shirley", "Isaac", 4.86]
["Alicia", "Ian", 4.6]
["Catherine", "Roger", 4.56]
["Johnie", "Allen", 4.47]
["Alene", "Valentin", 4.35]
["Edward", "Lyndsey", 4.31]
["Hildred", "Goldie", 4.14]
["Kristy", "Jerri", 4.02]
["Margery", "Priscilla", 3.87]
["Elda", "Lakendra", 3.86]
["Alton", "Tamara", 3.85]
["Steve", "Luther", 3.85]
["Lynda", "Shelley", 3.79]
["Chester", "Von", 3.77]
["Le", "Scott", 3.74]
["Kristofer", "Jesse", 3.73]
["Kyle", "Ryan", 3.7]
["Casey", "Neil", 3.66]
["Rafael", "Elsie", 3.61]
["Cherie", "Brandy", 3.61]
["Tina", "Michele", 3.59]
["Frances", "Nelson", 3.58]
["Emma", "Suzanna", 3.58]
["Sun", "Rocky", 3.57]
["Inez", "Marie", 3.56]
["Shane", "Reggie", 3.56]
["Williemae", "Anita", 3.51]
["Carolyn", "Josue", 3.48]
["Gail", "Truman", 3.47]
["Shelly", "Jamie", 3.47]
["Antony", "Irving", 3.42]
["Julio", "Bob", 3.41]
["Wilhelmina", "Ella", 3.4]
["Daisey", "Gregorio", 3.38]
["Delphine", "Jorge", 3.36]
["Paris", "Margret", 3.33]
["Cathleen", "Ramona", 3.32]
["Blair", "Lydia", 3.3]
["Peggy", "Clarice", 3.3]
["Lynn", "Janice", 3.3]
["Tanesha", "Anthony", 3.27]
["Stanley", "Edmundo", 3.26]
["Ahmad", "Vickie", 3.25]
["Melodie", "Randall", 3.22]
["Nicholas", "Jody", 3.17]
["Ismael", "Sidney", 3.14]
["Gavin", "Judy", 3.03]
["Annie", "Gerry", 2.92]
["Melody", "Abel", 2.69]
["Emeline", "Rebecca", 2.63]
["Hildred", "Emily", 2.57]
["Penny", "Maria", 2.56]
["Alene", "Amber", 2.46]
["Margery", "Sheree", 2.44]
["Elda", "Jackie", 2.44]
